"date","region","district","sub","original_sub","gender","baraza.B1","baraza.other_b1","baraza.B2","baraza.B3","baraza.other_b3","baraza.B4","baraza.B5","baraza.B6","baraza.visit_times.C1","baraza.visit_times.C2","baraza.visit_times.C3","baraza.visit_times.C4","baraza.visit_times.C5","baraza.visit_times.C6","baraza.visit_times.C7","baraza.visit_times.C8","baraza.visit_times.C9","baraza.km.D1","baraza.km.D2","baraza.km.D3","baraza.km.D4a","baraza.km.D4b","baraza.production.E1a","baraza.production.E1b","baraza.health.E2a","baraza.health.E2b","baraza.gender1.E3a","baraza.gender1.E3b","baraza.works.E4a","baraza.works.E4b","baraza.finance1.E5a","baraza.finance1.E5b","baraza.E6","baraza.E7","baraza.other_e7","baraza.meeting.F1","baraza.meeting.F2","baraza.meeting.F3","baraza.meeting.F4","baraza.H1","baraza.H2","baraza.H2b","baraza.H3","baraza.H4","baraza.H5","baraza.H6","baraza.H7","baraza.H8","baraza.H9","baraza.H10","baraza.H11","baraza.H12","baraza.H13","baraza.H15","baraza.H16","baraza.H17","baraza.H18","baraza.H19","baraza.H20","baraza.H21","baraza.H22","baraza.H23","baraza.H24","baraza.H25","baraza.H26","baraza.H27","baraza.H28","baraza.H29","baraza.H30","baraza.H31","baraza.H32","baraza.H33","baraza.H34","baraza.H35","baraza.H36","baraza.H37","baraza.H38","baraza.H39","baraza.H40","baraza.H41","baraza.H42","baraza.H43","baraza.H44","baraza.H45","baraza.H46","baraza.H47","baraza.H48","baraza.H49","baraza.H50","baraza.H51","baraza.H52","baraza.H53","baraza.H54","baraza.H55","baraza.H56","baraza.H57","baraza.H58","baraza.H59","baraza.H60","baraza.H61","baraza.H62","baraza.H63","baraza.H64","baraza.H65","baraza.H66.1","baraza.H66.2","baraza.H66.3","baraza.H66.4","baraza.H66.98","baraza.H67","baraza.H68","baraza.H69","baraza.H70","baraza.H71","baraza.H72","baraza.H73","baraza.H74","baraza.H75","baraza.H76","baraza.H77","baraza.H78","baraza.H79","baraza.H80","baraza.H81","baraza.H82","baraza.H83","baraza.H84","baraza.H85","baraza.H86","baraza.H87","baraza.H88","baraza.H89","baraza.H90","baraza.H91","baraza.H92","baraza.H93","baraza.H94","baraza.H95","baraza.H96","baraza.H97","baraza.H98","baraza.H99","baraza.H100","baraza.H101","baraza.H102","baraza.H103","baraza.H104","baraza.H105","baraza.H106","baraza.H107","baraza.H108","baraza.H109","baraza.H110","baraza.H111","baraza.H112","baraza.H113","baraza.H114","baraza.H115.1","baraza.H115.2","baraza.H115.3","baraza.H115.4","baraza.H115.98","baraza.H116","baraza.maleex.K1","baraza.maleex.K2","baraza.maleex.K3","baraza.maleliv.K4","baraza.maleliv.K5","baraza.maleliv.K6","baraza.malec.K7","baraza.malec.K8","baraza.malec.K9","baraza.K10","baraza.acc_ag.K11","baraza.acc_ag.K12","baraza.acc_ag.K13","baraza.acc_ag.K14","baraza.K16","baraza.K17","baraza.K18.1","baraza.K18.2","baraza.K18.3","baraza.K18.4","baraza.K18.98","baraza.K19","baraza.input_dis.K20","baraza.input_dis.K21","baraza.input_dis.K22","baraza.input_dis.K23","baraza.K24","baraza.K24b","baraza.K25","baraza.priority","baraza.L1","baraza.L2","baraza.L3","baraza.L4","baraza.L5","baraza.L6","baraza.L7","baraza.L8","baraza.L9","baraza.L10","baraza.L11","baraza.L12","baraza.L13","baraza.L14","baraza.M1","baraza.M2","baraza.M3","baraza.M4","baraza.M5","scID"
"2020-01-30","Northern","GULU","BOBI","Original","Male",1,"n/a",43,6,"n/a",1,2,15,10,10,15,8,8,8,8,8,8,20,180,3,8,8,1,"Male",1,"Male",1,"Male",1,"Male",1,"Male","2020-01-01",2,"n/a",3,4,10,4,24,24,3,"0","0","0","3","3","3","0","0","0",1,"999","0","0","0","1","1","1","999","999","999","999","999","999","2","2","6","2","2","2","0","2","2","3","3","0","3","3","0","0","0","0","3","3","0","0","1","1","4","1","1","1","1","1","1","1","0","0","1","1","0","0",1,"True","False","False","False","False",0,"3",1,"2","1",999,999,999,999,2,2,"n/a","n/a",26,8,12,999,999,999,999,999,"999","999","999","999",6,"999","999","999",3,999,6,0,0,12,"1","1","0","2","2","2",0,1,1,"2","1",1,1,"True","True","False","False","False",0,1,0,1,1,0,1,1,0,1,8,50,30,10,5,1,1,"True","True","False","False","False",0,1,1,1,0,2,"n/a","n/a",1,10,5,1,10,1,7,1,8,10,1,10,8,1,1,"- LAW REVENUE BASE 
- LATE DISBURSEMENT OF FUNDS
- UNDER STAFFING",2,"n/a","n/a","n/a",1
"2020-01-31","Northern","GULU","KORO","Original","Male",2,"n/a",39,6,"n/a",1,1,4,3,10,7,7,4,5,5,4,10,12,300,5,20,20,1,"Male",1,"Male",1,"Male",1,"Female",1,"Male","2019-12-01",2,"n/a",0,3,4,0,96,96,3,"3","3","3","999","999","999","0","0","0",1,"10","1","1","3","4","4","999","999","999","999","999","999","999","999","999","999","1","1","2","0","2","2","2","2","2","2","2","2","2","0","2","2","2","0","0","0","1","1","1","1","1","1","1","1","1","0","1","1","1","0","0",1,"True","True","False","False","False",999,"3",1,"1","1",999,999,999,999,999,1,"14","8",18,15,11,999,88,88,40,1,"999","999","999","999",5,"999","4","999",6,8,9,2,9,999,"1","999","0","1","0","0",1,1,2,"n/a","n/a",1,1,"False","True","False","False","False",15,1,0,1,1,0,1,1,0,1,2,9,60,50,30,1,2,"n/a","n/a","n/a","n/a","n/a",0,2,2,0,0,1,"2","0",4,1,1,10,10,7,10,1,1,10,1,10,10,1,10,"-POOR COMMUNICTION 
-LACK OF TRANSPARENCY",2,"n/a","n/a","n/a",2
"2020-01-31","Northern","GULU","KORO","Original","Male",1,"n/a",50,6,"n/a",1,2,17,10,10,20,10,15,15,15,15,1,10,999,5,20,20,1,"Male",1,"Male",1,"Male",1,"Female",1,"Male","2019-12-01",2,"n/a",0,6,4,0,24,999,2,"999","999","999","999","999","999","999","999","999",1,"999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","999","0","2","999","2","2","2","2","2","2","2","999","2","2","2","0","0","0","1","1","1","1","1","1","1","1","1","0","1","1","1","0","0",2,"n/a","n/a","n/a","n/a","n/a",100,"2",1,"2","0",999,999,999,999,999,2,"n/a","n/a",999,999,11,999,999,999,999,1,"999","999","999","999",999,"999","999","999",999,999,999,999,999,999,"999","999","999","1","999","999",11,1,2,"n/a","n/a",1,2,"n/a","n/a","n/a","n/a","n/a",0,1,0,1,1,0,1,1,0,1,999,999,999,999,999,1,2,"n/a","n/a","n/a","n/a","n/a",0,999,999,999,999,2,"n/a","n/a",5,1,1,1,1,4,5,1,1,10,10,10,10,1,1,"INADEQUATE REVENUE TO IMPLEMENT PLANNED COUNCIL ACTIVITIES",2,"n/a","n/a","n/a",3
"2020-01-30","Northern","GULU","LAKWANA","Original","Male",1,"n/a",50,6,"n/a",1,2,20,6,7,12,6,5,8,8,6,4,0,999,0.2,2,3,1,"Male",1,"Male",1,"Female",1,"Male",1,"Male","2020-01-01",2,"n/a",4,3,6,4,24,48,2,"2","2","2","1","1","4","0","0","0",1,"8","0","0","0","2","2","4","2","2","4","2","2","4","2","2","4","2","2","2","0","1","2","1","1","0","1","1","1","1","1","1","1","1","0","0","0","1","4","1","1","0","1","1","1","1","1","1","1","1","0","0",1,"True","False","True","False","False",0,"2",1,"1","0",999,999,999,999,999,1,"4","2",15,2,6,850,14,12,10,1,"200","7","0","18",2,"400","0","n/a",6,6,6,3,0,0,"1","1","1","1","0","0",6,1,1,"2","0",1,1,"True","False","True","False","False",100,1,0,1,1,0,1,0,1,1,0,2,10,10,5,1,2,"n/a","n/a","n/a","n/a","n/a",100,4,1,2,0,1,"5","1",1,5,4,5,7,7,6,6,6,7,6,4,4,4,4,"ELECTRICITY
TRANSPORT
SALARY INCREMENT",1,"2018-06-01","1","ISSUES OF ACCOUNTABILITY AND TRANSPARENCY",4
"2020-02-01","Northern","GULU","LAYIBI","Original","Male",2,"n/a",54,6,"n/a",1,1,8,0,4,4,0,3,0,5,4,0,4,60,45,40,25,1,"Female",1,"Female",1,"Female",1,"Male",1,"Male","2018-12-01",2,"n/a",5,4,8,10,13,20,0,"n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a",1,"15","0","0","0","1","1","3","0","0","0","999","999","999","2","2","0","1","1","1","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","0","1","1","1","1","1","1","1","1","1","0","1","0","1","0","0",2,"n/a","n/a","n/a","n/a","n/a",60,"n/a",98,"n/a","n/a",24,7,0,0,1,1,"3","2",999,999,7,3850,112,84,30,1,"750","16","12","8",3,"1000","4","1200",4,7,4,0,7,0,"0","1","0","0","0","0",8,1,1,"6","2",1,1,"False","False","True","False","False",80,0,0,0,0,0,0,0,0,0,0,999,20,10,5,1,2,"n/a","n/a","n/a","n/a","n/a",999,1,0,0,0,98,"n/a","n/a",4,1,2,6,7,2,2,1,3,6,1,1,1,8,8,"Political interference, limited funding and limited transport facilitation",2,"n/a","n/a","n/a",5
"2020-01-28","Northern","GULU","BUNGATIRA","Original","Male",6,"n/a",46,96,"Diploma in Gender and development",1,1,3,3,5,7,2,4,4,8,1,2,2,60,30,20,80,1,"Female",1,"Female",1,"Female",1,"Male",1,"Male","2020-01-01",2,"n/a",2,2,4,2,20,40,4,"0","0","0","7","7","4","4","4","0",1,"10","0","0","0","1","1","0","0","0","0","5","5","0","1","1","1","1","1","1","0","4","4","4","4","4","4","4","4","4","0","1","4","4","0","0","0","1","1","1","1","1","1","1","1","1","0","1","1","1","0","1",2,"n/a","n/a","n/a","n/a","n/a",999,"4",1,"1","1",120,20,0,6,0,1,"4","1",20,15,10,9000,140,140,999,1,"150","13","13","4",2,"2000","3","4000",1,0,1,0,10,10,"0","1","0","0","0","0",10,1,2,"n/a","n/a",1,2,"n/a","n/a","n/a","n/a","n/a",0,1,0,1,1,0,1,3,2,0,2,5,60,60,50,1,2,"n/a","n/a","n/a","n/a","n/a",0,2,1,1,0,2,"n/a","n/a",1,1,1,6,9,6,1,1,1,9,9,6,6,1,2,"1.Transport to reach the unfortunate people is a problem
2. Accomodation to staff
3.Lack ICT at the Sub-County
4.Lack of capacity building",1,"2018-05-01","1","1.Services at the health center
2.In-delivery by OWC being late and not enough",6
"2020-02-01","Northern","GULU","ONGAKO","Original","Male",2,"n/a",59,5,"n/a",1,1,4,12,37,5,33,3,3,21,8,11,17,39,0,60,40,1,"Male",1,"Male",1,"Female",1,"Female",1,"Male","2019-12-01",2,"n/a",0,4,0,0,23,46,3,"0","0","0","6","6","999","2","2","1",1,"6","0","0","0","1","1","1","0","0","0","2","2","4","1","1","1","1","1","1","0","3","4","3","3","0","3","3","3","0","0","0","0","3","0","0","0","1","1","1","1","1","1","1","1","1","0","0","1","1","0","0",1,"False","False","True","False","False",0,"3",1,"3","2",23,13,1,0,1,1,"6","3",15,6,9,360,144,144,18,1,"387","26","26","999",4,"180","2","1023",8,9,0,0,9,0,"0","0","1","0","0","0",1,1,1,"1","1",1,2,"n/a","n/a","n/a","n/a","n/a",0,1,0,1,1,0,1,1,0,0,3,48,80,80,80,1,2,"n/a","n/a","n/a","n/a","n/a",0,2,1,0,1,1,"1","0",5,9,2,1,6,1,6,2,1,6,8,3,4,2,7,"1.In adequate emplimentation by tecnocrats 
2.Top bottom approach is not good idear for us
3.Lack of transparency by some tecnocrats
4. Late delivery of agricultural in-puts
5. Poor quality in-puts",1,"2015-06-01","1","1. Infrustructural development(roads)",7
"2020-02-01","Northern","GULU","ONGAKO","Original","Male",6,"n/a",39,96,"Bachelors Degree in Development Studies",1,2,1,2,1,6,0,1,3,2,2,1,14,39,0,80,20,1,"Male",1,"Male",1,"Male",1,"Female",1,"Male","2019-12-01",2,"n/a",0,0,0,0,23,46,3,"0","0","0","9","9","9","1","1","1",1,"999","0","0","0","2","2","1","0","0","0","5","5","4","2","2","1","1","1","1","0","3","3","3","3","3","3","3","3","3","0","0","0","3","0","0","0","1","1","1","1","1","1","1","1","1","999","1","1","1","0","1",2,"n/a","n/a","n/a","n/a","n/a",999,"3",2,"n/a","n/a",999,2,0,0,0,2,"n/a","n/a",60,40,9,999,999,999,999,1,"999","999","999","999",999,"999","2","999",3,0,8,9,9,9,"1","1","1","0","0","0",9,1,1,"2","2",1,2,"n/a","n/a","n/a","n/a","n/a",0,1,0,1,1,0,1,1,0,4,0,999,50,10,0,1,2,"n/a","n/a","n/a","n/a","n/a",0,4,1,0,0,2,"n/a","n/a",2,1,1,1,1,3,8,1,3,6,6,6,1,1,1,"1.Lack of power
2.Lack of ICT equipments
3. Lack of transport",1,"2016-05-01","2","n/a",8
"2020-01-28","Northern","GULU","BUNGATIRA","Original","Female",96,"Secretary for Production",31,96,"Diploma in Agriculture",1,1,4,4,2,2,1,0,1,3,0,15,3,95,2,5,95,1,"Female",1,"Female",1,"Female",2,"n/a",1,"Male","2020-01-01",2,"n/a",1,2,0,1,20,40,2,"0","0","0","5","5","13","2","2","2",0,"n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","2","1","2","0","2","0","2","2","2","2","0","2","2","2","0","0","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a",2,"n/a","n/a","n/a","n/a","n/a",15,"2",2,"n/a","n/a",12,8,0,0,0,2,"n/a","n/a",80,60,4,4738,75,75,12,1,"157","16","13","7",2,"590","0","n/a",1,1,1,1,2,2,"1","1","1","1","1","1",5,2,1,"2","1",1,2,"n/a","n/a","n/a","n/a","n/a",0,1,0,1,1,0,1,0,0,0,0,2,70,70,40,1,2,"n/a","n/a","n/a","n/a","n/a",0,1,1,0,0,1,"1","0",4,8,8,8,8,7,8,1,1,8,8,9,8,8,9,"1.Government programs do not reach people timely
2.Govt does not bring what people want
3.Seeds brought to farmers are not pest resistant
4.Late delivery of inputs
5.Lack of market to farmers produce
6.Little quantity of inputs are delivered
7.Lack of information on delivery of inputs between OWC and the Sub-County",1,"2019-08-01","2","n/a",9
"2020-01-21","Eastern","BUTALEJA","KACHONGA","Original","Female",2,"n/a",45,4,"n/a",1,2,5,10,25,15,12,7,8,4,15,5,14,123,0.5,52,60,1,"Male",1,"Female",1,"Female",1,"Male",1,"Male","2019-11-01",2,"n/a",1,1,5,1,30,90,0,"n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a",0,"n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a",2,"n/a","n/a","n/a","n/a","n/a",0,"n/a",1,"3","1",33,0,0,1,0,1,"10","3",30,15,5,29020,45,45,15,1,"40","0","0","20",5,"200","0","n/a",5,5,5,5,5,5,"1","1","1","1","1","1",5,1,1,"10","3",1,1,"False","False","True","False","False",5,1,0,1,0,1,1,1,0,1,2,5,25,35,10,1,2,"n/a","n/a","n/a","n/a","n/a",999,1,1,1,3,1,"5","0",1,6,2,10,10,5,4,3,3,9,4,9,3,1,10,"Hunger among the people i facilitate
Trasport is a problemu",1,"2014-09-01","2","n/a",10
