,X,district,subcounty,information,deliberation,district_baraza,month,year
1,1,AMOLATAR,AWELO,1,0,0,6,2017
2,2,APAC,INOMO,1,0,0,5,2017
3,3,BUDUDA,BULUCHEKE,1,0,0,6,2017
4,5,BUGIRI,BUDHAYA,1,0,0,7,2016
5,6,BUGIRI,KAPYANGA,1,0,0,5,2017
6,7,BUHWEJU,KARUNGU,1,0,0,12,2017
7,8,BULAMBULI,BUGINYANYA,1,0,0,6,2019
8,9,HOIMA,BUHANIKA,1,0,0,3,2019
9,10,HOIMA,KYANGWALI,1,0,0,5,2019
10,11,HOIMA,BUSIISI,1,0,0,5,2019
11,12,HOIMA,KIGOROBYA_TC,1,0,0,3,2019
12,13,HOIMA,KITOBA,1,0,0,6,2018
13,14,KALIRO,NAMWIWA,1,0,0,1,2019
14,15,KALIRO,NAMUGONGO,1,0,0,6,2017
15,16,KANUNGU,KANUNGU_TC,1,0,0,7,2018
16,17,KANUNGU,MPUNGU,1,0,0,7,2017
17,18,KAPCHORWA,KAWOWO,1,0,0,9,2017
18,19,KIBAALE,BWAMIRAMIRA,1,0,0,3,2017
19,20,KIBAALE,MATALE,1,0,0,12,2017
20,21,KIBOGA,MUWANGA,1,0,0,2,2019
21,22,KIBOGA,DWANIRO,1,0,0,5,2017
22,23,KWEEN,KAPRORON,1,0,0,6,2018
23,24,LAMWO,PARABEK_OGILI,1,0,0,7,2018
24,26,LUWERO,KIKYUSA,1,0,0,1,2019
25,28,LUWERO,KATIKAMU,1,0,0,6,2017
26,29,LUWERO,BAMUNANIKA,1,0,0,11,2015
27,30,MUBENDE,BAGEZZA,1,0,0,9,2016
28,32,NTOROKO,KANARA,1,0,0,11,2016
29,33,PADER,PURANGA,1,0,0,6,2017
30,35,BUDUDA,BUSHIKA,1,1,0,6,2017
31,36,BULAMBULI,BULEGENI,1,1,0,7,2018
32,37,BUNDIBUGYO,BUBANDI,1,1,0,7,2018
33,38,BUNDIBUGYO,HARUGALI,1,1,0,3,2018
34,39,BUVUMA,BUGAYA,1,1,0,2,2019
35,40,HOIMA,BUSERUKA,1,1,0,6,2017
36,41,HOIMA,KIZIRANFUMBI,1,1,0,5,2019
37,42,KANUNGU,KANYANTOROGO,1,1,0,5,2017
38,43,KIBAALE,KASAMBYA,1,1,0,3,2019
39,44,LUWERO,KAMIRA,1,1,0,5,2019
40,45,LUWERO,BUTUNTUMULA,1,1,0,5,2019
41,46,LUWERO,ZIROBWE,1,1,0,1,2019
42,47,MANAFWA,BUWAGOGO,1,1,0,5,2019
43,48,MANAFWA,KAATO,1,1,0,4,2018
44,49,MASAKA,MUKUNGWE,1,1,0,5,2019
45,50,MBARARA,NYAMITANGA,1,1,0,2,2019
46,51,MUKONO,NAMA,1,1,0,6,2017
47,52,SEMBABULE,LWEMIYAGA,1,1,0,4,2017
48,53,SEMBABULE,SEMBABULE_TC,1,1,0,NA,NA
49,54,YUMBE,APO,1,1,0,10,2017
50,55,BUNDIBUGYO,BUNDIBUGYO_TC,0,1,0,7,2017
51,56,BUTALEJA,BUDUMBA,0,1,0,NA,NA
52,57,HOIMA,BUGAMBE,0,1,0,5,2019
53,58,HOIMA,KABWOYA,0,1,0,5,2019
54,59,KANUNGU,RUTENGA,0,1,0,NA,NA
55,60,KAPCHORWA,SIPI,0,1,0,6,2018
56,61,KITGUM,MUCWINI,0,1,0,11,2017
57,62,KYEGEGWA,KAKABARA,0,1,0,6,2018
58,63,KYEGEGWA,MPARA,0,1,0,9,2017
59,64,LUWERO,NYIMBWA,0,1,0,NA,NA
60,65,LWENGO,KISEKKA,0,1,0,5,2017
61,66,LWENGO,NDAGWE,0,1,0,5,2019
62,67,MANAFWA,BUGOBERO,0,1,0,4,2017
63,68,MASAKA,KABONERA,0,1,0,6,2018
64,69,MASAKA,BUKAKATA,0,1,0,4,2017
